MemberID,Address,Street,City,State,Zip,PhoneNumber,ExpirationDate
1,414,Merry,New Orleans,LA,70165,5660551439,2016-03-26
2,157,Pine View,Long Beach,CA,90847,7767925472,2014-07-07
3,266,Kenwood,Gilbert,AZ,85297,6602269316,2014-12-05
4,440,1st,Gainesville,FL,32610,6809831289,2015-12-21
5,66,Briar Crest,Baton Rouge,LA,70836,3075510900,2016-04-16
6,57,Glendale,Stamford,CT,06912,6230830534,2016-04-19
7,215,Rusk,Nashville,TN,37228,9390905548,2016-11-06
8,288,Blue Bill Park,Wichita,KS,67260,5323449877,2016-12-11
9,44,Anniversary,Seattle,WA,98121,7506297833,2015-11-22
10,43,Goodland,Baltimore,MD,21290,4013679019,2013-12-19
11,447,Debs,Pittsburgh,PA,15230,6270724747,2016-12-03
12,386,Messerschmidt,Washington,DC,20580,4129872067,2017-05-14
13,329,Lunder,Kansas City,MO,64193,3045760838,2018-09-22
14,343,Rusk,Boston,MA,02203,7621439310,2017-02-27
15,319,Spohn,Minneapolis,MN,55407,7769347013,2018-01-08
16,97,Amoth,Peoria,IL,61651,3937104704,2017-05-21
17,273,Doe Crossing,Santa Ana,CA,92705,1171553089,2014-12-02
18,16,Northview,Ogden,UT,84403,4989489577,2015-11-17
19,287,Portage,Fresno,CA,93773,6441834683,2016-12-25
20,344,Express,Richmond,VA,23242,7035308978,2014-11-20
21,31,Gina,Albuquerque,NM,87201,3051285189,2017-07-08
22,339,Alpine,San Francisco,CA,94132,7275505255,2014-09-08
23,418,Gina,Roanoke,VA,24020,1897690617,2016-11-23
24,309,Emmet,Baton Rouge,LA,70894,1810613184,2014-11-23
25,105,Karstens,Johnson City,TN,37605,2584854587,2016-12-11
26,412,Scott,Baton Rouge,LA,70894,6935097529,2017-01-29
27,76,Elka,Seattle,WA,98185,3190462235,2016-04-15
28,457,Westport,San Mateo,CA,94405,4479887281,2018-05-07
29,468,Stuart,Tulsa,OK,74103,1596664573,2014-03-11
30,15,Bonner,Cincinnati,OH,45233,5748590348,2016-04-29
31,86,Katie,El Paso,TX,79923,9828517778,2017-04-17
32,160,Shopko,New Orleans,LA,70187,3022872835,2014-05-19
33,154,Mendota,Charlotte,NC,28215,7998361008,2014-01-23
34,90,Sauthoff,Jackson,MS,39216,2984086459,2018-10-04
35,416,Fieldstone,Indianapolis,IN,46295,8514613891,2015-05-01
36,376,Old Shore,Montgomery,AL,36114,8285054811,2018-07-19
37,195,Lindbergh,Amarillo,TX,79118,8554358079,2016-10-19
38,361,Roxbury,Fort Wayne,IN,46814,3971767216,2017-04-06
39,78,Dryden,Trenton,NJ,08695,6131459973,2015-04-24
40,414,Kennedy,Gary,IN,46406,1266707712,2015-02-07
41,376,Union,Saint Louis,MO,63196,3797187039,2018-03-07
42,117,Butternut,Santa Ana,CA,92725,2897142699,2016-06-27
43,212,Johnson,Gilbert,AZ,85297,9934376978,2015-04-06
44,395,Bobwhite,Boise,ID,83716,8951432124,2018-01-11
45,344,Old Shore,Migrate,KY,41905,6864419454,2016-01-26
46,150,Sheridan,Dallas,TX,75397,2440354672,2016-12-18
47,253,Homewood,Honolulu,HI,96820,8456619167,2018-03-12
48,37,Rowland,Chattanooga,TN,37410,8198679773,2014-01-10
49,83,Dakota,New York City,NY,10024,7712290159,2018-08-01
50,455,Spenser,Lubbock,TX,79452,8041031265,2017-02-04
51,32,Roth,Carol Stream,IL,60351,4416628919,2015-12-21
52,290,Russell,Knoxville,TN,37931,8190450367,2017-10-11
53,287,Eagle Crest,Hamilton,OH,45020,2427883519,2018-08-13
54,91,Porter,Shawnee Mission,KS,66220,7516320240,2018-09-14
55,311,Acker,Wichita,KS,67205,2795689506,2014-07-28
56,453,Upham,Littleton,CO,80161,7957367411,2016-11-06
