MemberID,AdultMemberID,BirthDate
501,136,2004-08-29
502,208,2001-10-07
503,443,2008-02-13
504,154,2016-10-14
505,416,2008-04-30
506,461,2013-01-23
507,416,2015-03-13
508,339,2011-12-23
509,145,2016-06-13
510,48,2014-01-16
511,319,2006-06-24
512,66,2011-01-23
513,143,2001-07-07
514,344,2016-07-13
515,346,2007-06-26
516,154,2003-06-07
517,282,2014-07-28
518,392,2003-04-11
519,38,2008-09-10
520,454,2007-02-18
521,68,2001-03-10
522,120,2016-07-09
523,176,2011-10-07
524,195,2003-04-04
525,51,2005-06-29
526,230,2001-11-07
527,281,2010-10-06
528,293,2016-07-09
529,396,2002-09-20
530,406,2002-01-25
531,228,2007-08-10
532,472,2003-08-07
533,236,2002-04-10
534,21,2001-07-04
535,4,2009-06-30
536,445,2009-03-28
537,358,2015-10-24
538,296,2012-11-21
539,262,2017-02-18
540,207,2007-06-11
541,196,2001-06-20
542,349,2012-07-22
543,441,2001-08-27
544,104,2004-02-26
545,184,2002-10-13
546,496,2014-10-14
547,336,2011-11-25
548,277,2014-11-23
549,481,2007-10-22
550,419,2006-03-11
551,23,2012-10-15
552,82,2015-12-12
553,498,2001-10-30
554,46,2014-10-29
555,346,2008-08-15
556,105,2006-08-12
557,177,2008-09-09
558,335,2012-05-04
559,356,2004-08-14
560,235,2002-07-12
561,470,2006-08-12
562,371,2011-08-01
563,219,2009-10-24
564,179,2005-01-23
565,408,2010-02-03
566,87,2010-08-09
567,162,2004-02-28
568,330,2010-02-27
569,181,2008-05-04
570,366,2017-03-28
571,370,2015-10-23
572,378,2014-01-30
573,368,2002-07-18
574,429,2017-02-20
575,382,2009-10-04
576,337,2015-04-03
577,404,2003-03-25
578,172,2009-04-24
579,259,2006-04-03
580,162,2005-12-14
581,337,2005-09-05
582,260,2016-12-18
583,287,2005-05-13
584,74,2017-04-15
585,485,2006-06-25
586,498,2015-05-19
587,163,2002-11-22
588,278,2012-08-14
589,135,2012-02-29
590,292,2011-03-30
591,227,2003-11-25
592,310,2003-07-08
593,72,2012-07-03
594,98,2007-04-17
595,225,2004-05-12
596,89,2010-02-08
597,201,2011-06-23
598,323,2008-01-06
599,81,2006-01-04
